signal,target_error_spearman,high_error_q75_auc
rf_tree_std,0.6512586027028431,0.8463606286186931
source_derived_risk_model,0.6134831952067527,0.8147229114971052
absolute_prediction,0.5678459984723878,0.8451199338296113
nearest_source_label_gap,0.5484094227206898,0.7854631927212572
local_label_std,0.5469477651115603,0.7915632754342431
nn_distance_mean,0.03861133902294728,0.5398056244830438
unsupported_flag,-0.12921864275996517,0.5024813895781638
domain_target_probability,-0.29927620213859313,0.42038875103391227
log_target_source_odds,-0.29927620213859313,0.42038875103391227
