_condition_signature,Adsorbent,Pollutant,Capacity,oof_prediction,oof_absolute_error,oob_predicted_risk,fold,rf_tree_std,nn_distance_mean,local_label_std,nearest_source_label_gap,domain_target_probability,log_target_source_odds,unsupported_flag,absolute_prediction
8181753403025536020,Pristine SCW Biochar,NXP,0.0,6.625008255773341,6.625008255773341,3.8510555800022908,4,6.059016343938804,0.8971536691096056,6.66367690759414,7.546194034226659,0.705770777576032,0.8749313754555692,0.0,6.625008255773341
7236922260448317948,Pristine SCW Biochar,NXP,14.17120229,12.644340750465261,1.526861539534739,6.514998055328463,5,5.742913649659179,0.8712026159158581,6.8193552357352925,12.644340750465261,0.7062762164803126,0.877366588568772,0.0,12.644340750465261
10541473202442348931,Pristine SCW Biochar,NXP,16.32788388,15.76098456596682,0.5668993140331811,2.7597618772308246,3,2.305533971981646,0.8528873902437798,5.110554611049971,1.5897822759668205,0.7541752538602244,1.1210059051962271,0.0,15.76098456596682
14139316452646737785,Pristine SCW Biochar,NXP,17.22177881,16.30752574992381,0.9142530600761916,0.5362810366245206,1,1.5593338080478574,0.841466062456312,5.118017409967199,0.020358130076193248,0.7497020186023999,1.0970236853789899,0.0,16.30752574992381
9763024518987940014,Pristine SCW Biochar,NXP,16.51826825,16.694621276091837,0.17635302609183867,0.44567557807982244,4,0.8137446989040694,0.8690199760943293,5.1854728786501685,0.5271575339081629,0.7065805321901093,0.87883396719746,0.0,16.694621276091837
15887886292177259301,Pristine SCW Biochar,NXP,16.7887568,16.66140497748184,0.12735182251816113,0.5937161485058864,1,1.3957348519798596,0.9758119344057313,5.227457948706655,0.14313672748184203,0.7220308941603837,0.9545579502312852,0.0,16.66140497748184
17949875270163903850,Pristine SCW Biochar,NXP,17.23071592,16.86376401274819,0.36695190725180993,0.3917905764262014,2,0.6570920555378104,1.168078619958472,5.264828417065732,0.07500721274819,0.7815239272025836,1.2745692645233255,0.0,16.86376401274819
4187943329359161438,Pristine SCW Biochar,NXP,17.23813835,16.666449107978938,0.571689242021062,0.69437386626375,1,1.4003898096868703,1.315621438068772,0.757624569983654,0.5642668120210637,0.7216896207084197,0.9528581950780602,0.0,16.666449107978938
9458265099261401006,Pristine SCW Biochar,NXP,17.23813835,16.288330815407754,0.9498075345922459,0.7490612691143347,4,1.1939943976655294,1.4612925829190668,0.9723111210013762,0.9498075345922459,0.8087785443052791,1.4420929292437958,0.0,16.288330815407754
7977060853338463678,Pristine SCW Biochar,DCF,0.0,6.393426182771456,6.393426182771456,3.948620762802461,1,6.024811293864953,0.8971536691096056,6.396267477340716,7.525262207228544,0.6469613981531019,0.6057092252688071,0.0,6.393426182771456
