coverage,n,mae,median_absolute_error,p90_absolute_error,mean_predicted_risk
0.25,35,3.996458305813466,3.4140964715474453,7.2971608959214,0.4118379845763129
0.5,70,4.0631110983621035,3.2758207563134976,7.90725280328586,0.8428320234074648
0.75,105,6.964033917202651,4.28568763503349,16.907371637760136,3.1532005555084837
1.0,140,10.43258777001123,5.469511507641318,22.99904074444887,8.735055084785618
