_cross_domain_signature,source_capacity,source_replicates,source_capacity_std,source_capacity_spread,target_capacity,target_replicates,target_capacity_std,target_capacity_spread,capacity_shift,absolute_capacity_shift
4606319618248362964,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
5203743586402545340,14.17120229,3,0.6716445252299992,1.316940259999999,14.44646584,3,0.08786279052749504,0.1717261600000004,0.27526355,0.27526355
11119306344126108049,16.32788388,3,1.2502751686271982,2.496945509999998,15.62173129,3,0.11367205274187188,0.2201509399999999,-0.7061525900000021,0.7061525900000021
11527717656905264619,17.22177881,3,0.9781072829180306,1.846118589999998,16.88164032,3,0.17683670217609213,0.32164565000000067,-0.34013849000000107,0.34013849000000107
11292412908033921114,16.51826825,3,1.3914839198679787,2.4686027599999996,17.00858908,3,0.05237181713622697,0.10033063999999925,0.4903208300000017,0.4903208300000017
3024539414377595327,16.7887568,3,3.8552938535543846,6.876557289999999,17.4625326,3,0.06566522646528536,0.11640571999999949,0.6737757999999978,0.6737757999999978
10422153446086623198,17.23071592,3,1.448057184474923,2.528088440000001,17.54960963,3,0.0294855290482844,0.05874608999999964,0.31889370999999755,0.31889370999999755
5392787669627476874,17.23813835,3,3.615335731888597,6.333596030000001,17.71590352,3,0.5586744388442485,1.0110779500000007,0.4777651700000014,0.4777651700000014
8073319218673899866,17.23813835,3,3.615335731888597,6.333596030000001,16.30019973,3,0.5008810086928075,0.9532585100000013,-0.9379386200000006,0.9379386200000006
13623055413736580102,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
15853460460369335118,13.91868839,3,0.6224382424862823,1.1290394500000005,16.15534017,3,0.29204313991078623,0.5751112099999993,2.236651779999999,2.236651779999999
2387301737970739743,14.78917427,3,1.2526453684129395,2.24544382,17.94998036,3,0.6584718436157586,1.3169069600000007,3.1608060900000012,3.1608060900000012
15774731731294643949,15.72133017,3,0.8549058168007461,1.7082452199999985,18.6868745,3,0.34022766414067657,0.6078324099999968,2.9655443299999984,2.9655443299999984
2223772608570798200,15.38987776,3,1.6521965260034381,2.8719877900000004,19.22913671,3,0.6895844725473974,1.3441364,3.8392589499999996,3.8392589499999996
15023406623727177329,15.42913262,3,3.8676566296098365,6.979157594,19.16432581,3,0.3786071221117088,0.74107403,3.7351931900000004,3.7351931900000004
9998341019866298476,15.57221697,3,1.5557625236368735,2.902316260000001,19.8012145,3,0.4219203626743883,0.8409328800000004,4.228997530000001,4.228997530000001
7555473886408134344,15.90465766,3,4.024036134090432,6.977035796999999,20.25228212,3,0.5228069938236378,0.9161108200000001,4.3476244600000005,4.3476244600000005
8674591587285545848,14.99661152,9,2.1181394928939237,6.977035796999999,19.121072145,14,0.6493511634271116,1.85447731,4.124460624999999,4.124460624999999
6639156826482146662,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
5458416111978969518,14.87129357,3,1.202847563694383,2.3900728200000003,16.89988512,3,0.24924378060011237,0.4949087499999969,2.02859155,2.02859155
7731488106351775999,15.68799021,3,1.5391978779817623,2.8103837500000015,18.17632699,3,0.5072648070515556,0.9328999300000014,2.488336779999999,2.488336779999999
