Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,0,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,8995168798703410498,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8480494118045000923
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,30,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,4494402526469929530,3,34.68386303,34.36232523,1.4624473756736567,32.76586402,35.63724864,2.8713846200000006,3.265806849,7811553911691340547
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,60,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,1609166413684491409,3,45.2259335,45.85845888999999,2.557070102422059,43.67701439,48.67242878,4.9954143900000005,2.738703325,6547792352909482942
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,120,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,6889870731539656663,3,60.4039464,60.18001257333333,0.4059659726799012,59.71139653,60.42469479,0.7132982599999949,1.97980268,17655501512134679260
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,240,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,87092131921711988,3,65.37106104,65.73442911333332,1.8992559101338757,64.04310868,67.78911762,3.746008939999996,1.731446948,9301390236859822453
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,480,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,5712957424560820859,3,65.54825211,66.47373234000001,1.7232715871493904,65.41093002,68.46201489,3.051084870000011,1.722587395,5398041946777581528
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,720,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,422962214735009048,3,66.84687246,66.92196526,1.5171423342911279,65.44376377,68.47525955,3.03149578,1.657656377,13284761567546254833
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,960,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,17820105321635114084,3,66.85046154,66.94502960999999,1.5295430547743314,65.46496476,68.51966253,3.054697770000004,1.657476923,4197933424706407205
AMCB,700,90,71.4,1.6,5.1,2.5,0.106442577,19.4,0.269,0.054,0.03,950.2,0.42,1.0,IBU,1440,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,1941269387759743092,3,66.85999007,67.0739507,1.7038385650110235,65.48719801,68.87466402,3.387466009999997,1.657000496,6537852781442106997
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,1.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,10928664058777336999,3,0.336935155,0.10958579733333333,0.43844805239380497,-0.395842499,0.387664736,0.7835072350000001,0.983153242,2899154845995284794
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,3.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,18115771084016731082,3,3.598926315,3.545885218,0.2225601888911112,3.3015964,3.737132939,0.43553653899999967,2.820053684,3701867634866204125
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,5.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,15719965926527608900,3,6.6507982,6.587692991,0.17523761426558565,6.389642576,6.722638197,0.33299562100000024,4.66746009,4504690467566061435
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,7.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,3232850516614781629,3,9.737011847,9.751760883,0.027691454924991966,9.734565783,9.783705019,0.049139235999998476,6.513149408,4816639085188916868
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,10.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,13776757793733500861,3,13.60313225,13.63135751,0.2076837889577203,13.43922985,13.85171043,0.41248058000000043,9.319843387,3241811113684022660
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,1.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,7891471248965532175,3,0.456501645,0.46824490233333327,0.055011878293959204,0.420052877,0.528180185,0.10812730799999998,0.977174918,17166976430655990226
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,3.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,7257597977143232674,3,4.026018689,4.059426695666667,0.1819234129932821,3.896522634,4.255738764,0.3592161300000001,2.798699066,6681420449965571429
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,7.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,16826936358102245669,3,10.6396012,10.758831323333332,0.2749965810947692,10.56357141,11.07332136,0.5097499499999998,6.46801994,6331350203389955420
