Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,329814341262190588,14,19.121072145,19.01508540714286,0.6493511634271116,17.95777678,19.81225409,1.85447731,27.13183918,8674591587285545848
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,0,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,2051404940871207638,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6639156826482146662
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,30,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,10658327680642255806,3,16.89988512,16.86546043,0.24924378060011237,16.60079371,17.09570246,0.4949087499999969,27.46501723,5458416111978969518
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,60,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,3790332834202311929,3,18.17632699,18.406521153333333,0.5072648070515556,18.05516827,18.9880682,0.9328999300000014,27.27355095,7731488106351775999
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,120,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,10796766321469813683,3,19.26992768,19.135274973333335,0.5565307331971229,18.52377223,19.61212501,1.088352780000001,27.10951085,15761722521374951181
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,240,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,17200286515181460444,3,19.78484896,19.589040323333332,0.7941954140633273,18.71525548,20.26701653,1.5517610499999996,27.03227266,12678559712954565848
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,480,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,11008431144893168087,3,19.78377849,19.90235242,0.8561648219835515,19.11165505,20.81162372,1.6999686700000005,27.03243323,18057179016669917009
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,720,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,18432371715842126336,3,20.67835043,20.50829395,0.46517059011799156,19.98202397,20.86450745,0.8824834800000012,26.89824743,15372160975156318604
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,960,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,8910712751277851660,3,20.66529595,20.531500483333332,0.4427499960918926,20.03728362,20.89192188,0.8546382600000015,26.90020561,7262915639397464744
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,16737703975485143772,14,20.025033185,20.09902592714286,0.847477039835171,18.98707833,21.22517196,2.2380936300000016,26.99624502,175192195968700888
