Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,5638615342311838916,9,14.99661152,14.379857997,2.1181394928939237,8.942045773,15.91908157,6.977035796999999,27.75050827,8674591587285545848
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,0,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,7005060955217620126,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6639156826482146662
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,30,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,2505532420871944950,3,14.87129357,14.713263023333333,1.202847563694383,13.43921134,15.82928416,2.3900728200000003,27.76930596,5458416111978969518
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,60,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,17702078877809221217,3,15.68799021,16.41330936,1.5391978779817623,15.37077706,18.18116081,2.8103837500000015,27.64680147,7731488106351775999
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,120,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,14944427793197308491,3,16.10270243,16.763800146666664,1.1859873349861854,16.05570647,18.13299154,2.0772850699999985,27.58459464,15761722521374951181
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,240,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,10951857324102232612,3,16.33182844,15.2864309,1.8464597755582532,13.15445537,16.37300889,3.2185535200000004,27.55022573,12678559712954565848
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,480,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,8883391426004463471,3,16.56544362,14.280594134333334,3.961982492978508,9.705691803,16.57064698,6.864955176999999,27.51518346,18057179016669917009
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,720,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,13016132821430166328,3,16.37114691,15.808151916666667,1.8837269995442183,13.70712017,17.34618867,3.6390685000000005,27.54432796,15372160975156318604
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,960,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,10446930094873696724,3,16.63389065,14.41134109366667,4.331746388460078,9.419443701,17.18068893,7.761245228999998,27.5049164,7262915639397464744
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,2828512855804384036,9,15.1857729,14.87392839011111,2.219982470253417,9.419443701,17.18068893,7.761245228999998,27.72213406,175192195968700888
