_cross_domain_signature,source_capacity,source_replicates,source_capacity_std,source_capacity_spread,target_capacity,target_replicates,target_capacity_std,target_capacity_spread,capacity_shift,absolute_capacity_shift
5689367491538143357,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
1096784735608121317,7.034183792,3,0.03940904403601653,0.07174593500000004,7.201826303,3,0.01328242899461231,0.02610024799999966,0.1676425109999995,0.1676425109999995
15759217840397529228,7.690816808,3,0.2994775241378369,0.5364453660000006,7.56996129,3,0.16244286503394073,0.3248516129999999,-0.12085551799999994,0.12085551799999994
2696145427409326382,7.723951871,3,0.04674852662052439,0.09145565300000058,7.776770223,3,0.08143051981335894,0.15155930499999926,0.05281835200000007,0.05281835200000007
11439354181120003123,7.595198258,3,0.3447524704097232,0.6441042960000001,7.821879901,3,0.05717271014236218,0.10919702300000012,0.22668164300000004,0.22668164300000004
1684055843099262994,7.774747224,3,0.07017021935236607,0.12947411399999975,7.906795037,3,0.07515726149038074,0.14845459100000014,0.1320478129999998,0.1320478129999998
8236421189069109735,7.716410622,3,0.08722684404669707,0.16673204499999983,7.908859553,3,0.07576340614646374,0.14845459000000094,0.19244893100000038,0.19244893100000038
952598309744334275,7.799828681,3,0.1406602185351818,0.26668961599999985,7.910066501,3,0.08415318597338552,0.16381141500000052,0.11023782000000004,0.11023782000000004
4139749840015379763,7.688137114,9,0.34370207063329833,0.9171138829999999,7.559313003,9,0.23627891075146756,0.739367412,-0.12882411100000013,0.12882411100000013
4779059698726194465,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
14609390245561545561,7.29824758,3,0.014042789428247491,0.02523356300000046,7.346596526,3,0.08052379677839823,0.16001588100000053,0.04834894599999995,0.04834894599999995
11262522506789243568,8.016067183,3,0.11228977867237774,0.22275503800000074,8.08533598,3,0.10583733337860453,0.18999106700000024,0.06926879699999944,0.06926879699999944
2025915410812687386,7.965712136,3,0.14120769407223627,0.26293500199999986,8.20569727,3,0.03733189764367207,0.07394143900000039,0.23998513400000032,0.23998513400000032
6645138200345112671,8.097699999,3,0.21425236799465178,0.41034960300000023,8.226239206,3,0.03379908795599298,0.06758114199999987,0.1285392070000011,0.1285392070000011
2622894951761160502,8.028940142,3,0.02768476106185591,0.0553104960000006,8.224794045,3,0.03711842800266097,0.0740684860000016,0.19585390299999972,0.19585390299999972
6852825768155583275,7.990681514,3,0.06795083178565722,0.11786603500000048,8.264496278,3,0.033125945021828446,0.058187593000001314,0.27381476399999904,0.27381476399999904
4425738716744852239,8.049762635,3,0.04321518630976569,0.08009574599999958,8.266814888,3,0.021295759878582392,0.04156029700000019,0.2170522530000003,0.2170522530000003
14690339764569626975,8.021743133,3,0.024963182307863995,0.047232874000000535,8.267608933,3,0.01668152796950637,0.03329429299999909,0.2458658000000007,0.2458658000000007
8480494118045000923,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
7811553911691340547,34.30139377,3,2.364359823301865,4.684364309999996,34.68386303,3,1.4624473756736567,2.8713846200000006,0.3824692600000006,0.3824692600000006
6547792352909482942,49.35800117,3,2.339151842324047,4.389206889999997,45.2259335,3,2.557070102422059,4.9954143900000005,-4.132067670000005,4.132067670000005
17655501512134679260,55.87545732,3,1.7190022029558174,3.081304589999995,60.4039464,3,0.4059659726799012,0.7132982599999949,4.52848908,4.52848908
9301390236859822453,59.45369978,3,1.9548158278288743,3.8388958700000018,65.37106104,3,1.8992559101338757,3.746008939999996,5.91736126,5.91736126
5398041946777581528,60.82747993,3,2.004650420739984,3.511491989999996,65.54825211,3,1.7232715871493904,3.051084870000011,4.720772180000004,4.720772180000004
13284761567546254833,60.91622169,3,2.008119434168586,3.5149984299999986,66.84687246,3,1.5171423342911279,3.03149578,5.93065077,5.93065077
4197933424706407205,60.91840721,3,2.0339419576717543,3.615092109999999,66.85046154,3,1.5295430547743314,3.054697770000004,5.93205433,5.93205433
6537852781442106997,60.91919976,3,1.9545236053537933,3.4922706200000064,66.85999007,3,1.7038385650110235,3.387466009999997,5.940790309999997,5.940790309999997
2899154845995284794,-0.068613039,3,0.03702650841078889,0.07238615600000001,0.336935155,3,0.43844805239380497,0.7835072350000001,0.405548194,0.405548194
3701867634866204125,2.943631564,3,0.08078756768430745,0.15750157200000015,3.598926315,3,0.2225601888911112,0.43553653899999967,0.655294751,0.655294751
4504690467566061435,6.577519116,3,0.12953473467304943,0.2422725219999995,6.6507982,3,0.17523761426558565,0.33299562100000024,0.07327908399999927,0.07327908399999927
4816639085188916868,10.23804279,3,0.08230673701169533,0.14604603999999988,9.737011847,3,0.027691454924991966,0.049139235999998476,-0.501030943,0.501030943
3241811113684022660,13.59765442,3,0.16388001844758782,0.3277564399999999,13.60313225,3,0.2076837889577203,0.41248058000000043,0.005477830000000239,0.005477830000000239
17166976430655990226,0.387998125,3,0.024394260075325813,0.04425200600000001,0.456501645,3,0.055011878293959204,0.10812730799999998,0.06850351999999998,0.06850351999999998
6681420449965571429,3.344174701,3,0.06804267952204762,0.1360564929999999,4.026018689,3,0.1819234129932821,0.3592161300000001,0.6818439879999998,0.6818439879999998
6331350203389955420,10.46171408,3,0.19104613566880393,0.3736106200000009,10.6396012,3,0.2749965810947692,0.5097499499999998,0.1778871199999994,0.1778871199999994
17896087149270429276,14.01472397,3,0.5640823981571426,1.123179030000001,15.20226846,3,0.07255603936385514,0.13406527000000068,1.1875444900000005,1.1875444900000005
