_input_signature,n_rows,target_unique,target_min,target_max,target_spread
21663042305783391,1,1,19.48302488,19.48302488,0.0
43217044575312378,3,3,16.42549742,17.63529515,1.2097977300000018
51231179829925974,1,1,92.93061391,92.93061391,0.0
70681744174730829,3,3,6.810144963,6.844815173,0.03467020999999981
76829921428503916,1,1,120.8167404,120.8167404,0.0
86144657109185607,1,1,16.3763204,16.3763204,0.0
87092131921711988,3,3,64.04310868,67.78911762,3.746008939999996
95817833491593826,3,3,56.72166793,69.67945751,12.957789580000004
160904994430030632,3,3,11.17892784,11.75416393,0.5752360900000006
171073794159675185,3,3,0.778078419,0.974804688,0.196726269
179340578251984848,1,1,14.57548436,14.57548436,0.0
191357271387646750,3,3,24.04506195,25.70405757,1.658995619999999
214489569330710424,3,3,70.50262639,145.5371278,75.03450141
218479712443237629,3,3,1.184830872,1.359982754,0.17515188199999998
225040084999860926,15,15,5.47608242,181.433822,175.95773957999998
226352991503636996,3,3,13.18527063,15.6226145,2.4373438699999994
258951804533649290,3,3,7.923506761,8.186441763,0.26293500199999986
271021551376951870,3,3,62.44209028,66.30728963,3.8651993499999975
273233521355252905,3,3,4.797574325,4.988139105,0.19056477999999988
274986128340747113,3,3,186.6214355,190.0229041,3.4014686000000154
295427787878208187,1,1,10.43542352,10.43542352,0.0
319468021867760320,1,1,93.63013996,93.63013996,0.0
329814341262190588,15,14,17.95777678,19.81225409,1.85447731
335119549853506142,3,3,15.95611864,16.53122985,0.5751112099999993
358042751749756487,3,3,2.959825717,3.203392165,0.2435664479999997
396780677770352598,3,3,129.2360257,130.2866693,1.0506436000000008
416113312277554450,1,1,19.4769526,19.4769526,0.0
422962214735009048,3,3,65.44376377,68.47525955,3.03149578
444607345130435793,3,3,3.278573746,3.414630239,0.1360564929999999
446328556523201111,3,3,130.5675555,131.7447333,1.1771778000000097
448869715081788645,3,2,7.257365685,7.618428654,0.3610629689999998
450672438474594467,1,1,168.0657647,168.0657647,0.0
470412453618795009,3,2,53.33333333,66.66666667,13.333333339999996
477985032669267579,3,3,27.24166187,27.50556873,0.26390685999999874
481849111985806454,3,3,1.831797888,1.901043293,0.06924540499999998
482394137443692837,1,1,15.84269309,15.84269309,0.0
487517800222060385,3,3,7.785650813,8.196000416,0.41034960300000023
493397566369541585,3,3,32.83361534,34.7145383,1.8809229599999995
494444688020442545,11,4,20.88888889,65.33333333,44.44444444
511374947235614880,3,3,12.0583655,12.18863804,0.13027254
515935265218775533,3,3,404.3344731,428.2806544,23.946181299999978
515999279121281285,3,3,13.81204213,15.59497995,1.7829378200000008
532790910543730727,3,3,74.91688182,87.5872493,12.670367479999996
536823301962413804,1,1,10.33676866,10.33676866,0.0
545046568759867788,3,3,7.772727273,8.141762452,0.36903517899999994
549570047000783062,1,1,161.4962941,161.4962941,0.0
573048783801505426,3,3,8.191134491,8.258715633,0.06758114199999987
576957810032157515,1,1,53.62517173,53.62517173,0.0
582766726270403589,2,2,44.3942021,93.6377077,49.243505600000006
599381209477399324,3,3,65.8862209,84.43127563,18.545054730000004
664633524360232258,3,3,163.4125302,183.2949256,19.882395400000007
665404155957715216,3,3,173.8138417,183.1226947,9.308853
667116808852431888,3,3,0.363227257,0.926413431,0.5631861739999999
671441796495690393,3,3,31.39962214,36.08398645,4.684364309999996
