model,source_cv_mae,source_cv_mae_std
random_forest,5.305914452332121,1.5392793109148712
extra_trees,5.727563722305724,1.4623894353122013
ridge,15.252601989230817,1.9347434261131347
dummy_median,36.35239358727687,4.081210369273314
