alpha,mean_mae,std_mae,fold_mae
0.01,15.45127455148529,2.275493557500579,"[17.676827919009202, 15.91185845485971, 13.518639537561658, 17.4752834562463, 12.673763389749578]"
0.1,15.44143707531544,2.271257372580539,"[17.65997843490284, 15.90157087875757, 13.504682678674627, 17.46573769293382, 12.675215691308349]"
1.0,15.35451246099231,2.2303082949932347,"[17.502395583009843, 15.806871060052705, 13.38457621993551, 17.384544027381736, 12.694175414581771]"
10.0,15.252601989230817,1.9347434261131347,"[17.26227870408191, 15.453649426178902, 13.597031306306576, 16.974862242684324, 12.975188266902371]"
100.0,16.916944075411614,1.5632763637705878,"[18.99564277852431, 15.521221416067943, 16.172961118457785, 18.162134807808258, 15.732760256199773]"
1000.0,24.622420633652037,0.8715954926033544,"[24.805279786956575, 24.41514609400117, 23.281098761217223, 24.96576672278375, 25.644811803301465]"
