config,lambda_max,seed,best_epoch,source_val_mae,source_all_mae,target_mae,target_rmse,target_r2,target_spearman,target_mean_error,supported_mae,unsupported_mae,domain_auc,domain_balanced_accuracy
mlp_source_only,0.0,11,233,8.447087287902832,4.364904946560816,12.083306683812822,19.687903386060768,0.8754862123642985,0.8571975273747847,7.345055869647434,13.241460499940095,8.174537554383278,0.8156892718176765,0.7905225125069484
mlp_source_only,0.0,23,386,8.244338989257812,3.5146858508449905,11.694763050760542,20.758899765848415,0.8615709720955815,0.8579104190146842,7.999338725634984,12.796534873821118,7.976283147931099,0.8359088382434685,0.8229571984435797
mlp_source_only,0.0,37,223,7.707813739776611,3.692930853283553,11.099933470998492,20.45755173585229,0.865560830293064,0.8723388209780476,7.848123376710074,12.064411445900246,7.8448203057050705,0.8166064480266815,0.7804474708171206
mlp_source_only,0.0,51,120,8.53665542602539,4.042635595715194,11.916273978778294,21.774999981097686,0.8476877506243453,0.8527189933916128,7.864244559832982,12.842356169665301,8.790746584534645,0.7855197331851028,0.7632851584213451
mlp_source_only,0.0,71,142,8.467405319213867,4.752950093159394,10.063820290565491,18.658379100288784,0.8881679384439959,0.863875966234456,4.986896504674639,11.180241531795925,6.295898601412773,0.816467481934408,0.7989438576987216
dann_lambda_0.1,0.1,11,180,8.53847885131836,4.526991621446536,9.9672313111169,19.14929271090485,0.8822057800049232,0.8772459646588278,5.08117640699659,11.119359193024811,6.078799709677696,0.684894385769872,0.6791967759866593
dann_lambda_0.1,0.1,23,188,8.882180213928223,4.601157689825718,12.119110424177988,22.074616977722112,0.8434673784049391,0.87461745008472,8.36941475527627,14.002803202028629,5.7616472989320755,0.6250833796553641,0.5395636464702612
dann_lambda_0.1,0.1,37,86,9.138346672058105,5.009985199024588,13.129877400398254,21.94514435146272,0.8452981920740594,0.8530317035281331,6.470850389344352,14.177649268397579,9.593647345900536,0.5029599777654252,0.483574207893274
dann_lambda_0.1,0.1,51,120,8.414776802062988,4.143523868705545,11.869842764309475,21.735113585417768,0.8482452360464984,0.8738039663729329,7.4118324450084145,13.254554130412915,7.196441903710365,0.7090605892162312,0.6325597554196776
dann_lambda_0.1,0.1,71,137,8.798236846923828,4.618763231481454,11.497269695145743,21.18765360930814,0.8557937001172071,0.8631587010262137,6.662038561276027,12.771826249581796,7.195641323924065,0.7154252362423569,0.6749861033907727
dann_lambda_0.5,0.5,11,147,9.108909606933594,5.221143122183981,12.624803941590445,21.574754223862985,0.8504762366203433,0.8497012312349833,6.00446115561894,14.224006317279956,7.227495923638344,0.7175653140633685,0.5933852140077821
dann_lambda_0.5,0.5,23,218,8.142716407775879,4.6787713101099,9.795132497378757,18.884751276488053,0.88543787944374,0.8790609955211485,7.106915409224374,10.642363883830884,6.935726568102837,0.6941912173429683,0.654544191217343
dann_lambda_0.5,0.5,37,236,8.516058921813965,4.611123597168404,12.855995685713632,22.43402579395325,0.8383286983000181,0.8426729069078764,8.179271905762809,14.681891794557925,6.693596318364143,0.6803501945525292,0.5836575875486382
dann_lambda_0.5,0.5,51,158,9.269174575805664,5.565084665597226,12.337222559111458,22.570966230258843,0.8363489457929092,0.8229065647819533,6.937099582808358,13.961047737686723,6.856812581419945,0.5649666481378544,0.5275986659255142
dann_lambda_0.5,0.5,71,118,9.62633991241455,6.15741170947411,14.251935267448426,23.38097403695217,0.824392239437623,0.8486056523650766,8.484478558812823,15.686449068563956,9.41045118868351,0.508852140077821,0.504863813229572
dann_lambda_1.0,1.0,11,122,9.674242973327637,5.5685199537540075,11.36482675756727,22.228303646654123,0.8412801856405157,0.8377832575004681,6.010685678890773,13.354704327053494,4.648989960551262,0.26605058365758755,0.31316008893829905
dann_lambda_1.0,1.0,23,119,9.819510459899902,5.680330795669778,10.97422421659742,21.060671854123697,0.8575170336203524,0.8875982009265699,6.60269546849387,13.019005122008148,4.07308866083622,0.5474013340744858,0.5392440244580322
dann_lambda_1.0,1.0,37,221,8.779847145080566,4.9923850580679705,11.39341745035989,19.76439050663572,0.8745168657967651,0.867949945145906,5.298401972225734,12.912713898552788,6.265791937708855,0.686603668704836,0.6653696498054474
dann_lambda_1.0,1.0,51,165,9.237866401672363,4.802443552230086,11.443445672307696,20.874950067312614,0.8600189019340164,0.8309736115905085,5.719345504896982,13.001286065136945,6.18573434650898,0.4150500277932184,0.4834213451917732
dann_lambda_1.0,1.0,71,197,9.586973190307617,5.953984744198944,10.647503365789142,18.87533159717322,0.8855521376921368,0.859889458689865,4.468700998170036,12.373579819997152,4.821995332837105,0.629627570872707,0.648763201778766
