config,lambda_max,target_mae_mean,target_mae_std,target_rmse_mean,target_r2_mean,target_spearman_mean,supported_mae_mean,unsupported_mae_mean,domain_auc_mean,domain_auc_std,source_val_mae_mean
mlp_source_only,0.0,11.371619494983127,0.8203232554619774,20.267546793829588,0.867694740764257,0.860808345398717,12.425000904224536,7.816457238793373,0.8140383546414676,0.01807519787803172,8.280660152435303
dann_lambda_0.1,0.1,11.716666319029672,1.1501355971300267,21.218364246963116,0.8550020573295255,0.8683715571341655,13.065238408689146,7.165235516428948,0.6474847137298498,0.088312238219332,8.754403877258301
dann_lambda_0.5,0.5,12.373017990248544,1.6181601188857146,21.76909431230306,0.8469967999189267,0.8485894701622076,13.839151760383889,7.424816516041756,0.6331851028349083,0.0910751820205029,8.932639884948731
dann_lambda_1.0,1.0,11.164683492524285,0.3441783411849048,20.560729534379874,0.8637770249367573,0.8568388947706636,12.932257846549707,5.199120047688484,0.508946637020567,0.16986740298796543,9.419688034057618
