source_risk_quantile,risk_threshold,target_coverage,accepted_n,accepted_mae,rejected_n,rejected_mae
0.5,1.5142658849397894,0.4357142857142857,61,3.7873122020557726,79,15.563749917419875
0.75,5.247513755628938,0.5214285714285715,73,4.382947665464037,67,17.023986689891007
0.9,15.199280795344048,0.8071428571428572,113,7.5824323110062615,27,22.361016172513505
