coverage,n,mae,median_absolute_error,p90_absolute_error,mean_predicted_risk
0.25,35,0.26762151473303114,0.16881547434567423,0.6267822315671201,0.13952434006176817
0.5,71,0.4246100277930679,0.25555916195722794,0.9756392228594208,0.21691523296465787
0.75,106,2.218961772382995,0.5348459717402836,8.648715995525237,0.4372623155111661
1.0,142,3.581765036280137,0.7707155279900961,9.843575803210634,1.6646998143365344
