source,target,target_n,target_mae,target_rmse,target_r2,domain_auc,supported_n,unsupported_n,supported_mae,unsupported_mae,strict_risk_error_spearman,strict_high_error_auc,tree_std_error_spearman,tree_std_high_error_auc,full_risk_error_spearman,relative_risk_error_spearman,low_risk_quartile_mae,high_risk_quartile_mae,high_low_mae_ratio
Lake water,Secondary effluent,140,10.43258777001123,16.68984982131291,0.9105205381971228,0.8254214729370009,108,32,11.482721228217152,6.888387348566249,0.6506702236994599,0.836435070306038,0.6512586027028431,0.8463606286186931,0.6136756248496644,0.2780870744134176,3.0754520613354424,20.91115489019503,6.799375985433131
Lake water,Ground water,142,3.581765036280137,6.018036182182058,0.9632627512397774,0.7116503368034293,142,0,3.581765036280137,,0.7838902911944086,0.9295742753623188,0.795955489429439,0.9702219202898551,0.7956130727669734,0.7795335405885159,0.26762151473303114,7.563242682965457,28.26096657628687
